time_s,H2,H,O,O2,OH,H2O,HO2,H2O2,AR,N2
0.004725000000000303,0.007794040430802437,0.0008936611522465536,0.0002864192896596684,0.0030616714967625375,0.0036606382981344172,0.19883072208744015,4.93231403004959e-07,4.972756401353706e-08,0.0,0.7854723042859872
0.004726000000000303,0.0077938744341125065,0.0008936214407099258,0.0002864069189981443,0.003061602605818108,0.003660566948869331,0.19883097236317054,4.932152544884361e-07,4.9726511470910924e-08,0.0,0.7854724123465554
0.004727000000000303,0.007793708578423026,0.0008935817639377778,0.00028639455915978665,0.003061533773502408,0.003660495660164715,0.19883122242562484,4.931991199280218e-07,4.972545982285002e-08,0.0,0.7854725203146076
0.004728000000000303,0.007793542863609247,0.0008935421218976151,0.00028638221013448887,0.0030614649997633817,0.003660424431967054,0.1988314722749929,4.931829993109723e-07,4.9724409068562146e-08,0.0,0.785472628190227
0.004729000000000303,0.007793377289546536,0.0008935025145569768,0.0002863698719121546,0.0030613962845490216,0.0036603532642228817,0.1988317219114643,4.931668926245564e-07,4.9723359207255807e-08,0.0,0.7854727359734962
0.004730000000000303,0.007793211856110379,0.0008934629418834353,0.00028635754448269797,0.0030613276278073725,0.0036602821568787846,0.1988319713352287,4.931507998560559e-07,4.9722310238140315e-08,0.0,0.7854728436644985
0.0047310000000003035,0.0077930465631763845,0.0008934234038445959,0.0002863452278360432,0.0030612590294865254,0.0036602111098813965,0.19883222054647523,4.931347209927652e-07,4.9721262160425734e-08,0.0,0.7854729512633166
0.004732000000000304,0.007792881410620269,0.0008933839004080975,0.00028633292196212495,0.003061190489534623,0.003660140123177401,0.19883246954539313,4.93118656021991e-07,4.972021497332286e-08,0.0,0.7854730587700333
0.004733000000000304,0.007792716398317874,0.0008933444315416121,0.00028632062685088794,0.0030611220078998564,0.003660069196713534,0.1988327183321714,4.931026049310531e-07,4.971916867604324e-08,0.0,0.7854731661847313
0.004734000000000304,0.007792551526145152,0.0008933049972128439,0.00028630834249228717,0.0030610535845304646,0.0036599983304365777,0.19883296690699867,4.930865677072835e-07,4.9718123267799166e-08,0.0,0.785473273507493
0.004735000000000304,0.0077923867939781784,0.000893265597389531,0.00028629606887628793,0.003060985219374739,0.0036599275242933664,0.19883321527006367,4.930705443380273e-07,4.9717078747803725e-08,0.0,0.7854733807384011
0.004736000000000304,0.0077922222016931384,0.000893226232039444,0.0002862838059928657,0.0030609169123810157,0.0036598567782307836,0.19883346342155472,4.930545348106416e-07,4.971603511527067e-08,0.0,0.785473487877538
0.004737000000000304,0.007792057749166341,0.0008931869011303865,0.000286271553832006,0.0030608486634976844,0.00365978609219576,0.19883371136166017,4.930385391124964e-07,4.971499236941459e-08,0.0,0.7854735949249861
0.0047380000000003045,0.0077918934362742045,0.0008931476046301947,0.0002862593123837047,0.0030607804726731805,0.0036597154661352784,0.19883395909056797,4.930225572309741e-07,4.971395050945077e-08,0.0,0.7854737018808278
0.004739000000000305,0.007791729262893265,0.0008931083425067383,0.0002862470816379677,0.003060712339855988,0.00365964489999637,0.1988342066084661,4.930065891534696e-07,4.971290953459525e-08,0.0,0.7854738087451449
0.004740000000000305,0.007791565228900179,0.0008930691147279186,0.000286234861584811,0.003060644264994642,0.003659574393726115,0.1988344539155421,4.929906348673905e-07,4.9711869444064815e-08,0.0,0.7854739155180198
0.004741000000000305,0.007791401334171715,0.0008930299212616707,0.00028622265221426083,0.003060576248037726,0.003659503947271642,0.1988347010119837,4.929746943601568e-07,4.9710830237076984e-08,0.0,0.7854740221995347
0.004742000000000305,0.007791237578584763,0.0008929907620759618,0.0002862104535163536,0.0030605082889338707,0.003659433560580132,0.19883494789797818,4.929587676192011e-07,4.9709791912850063e-08,0.0,0.7854741287897713
0.004743000000000305,0.0077910739620163155,0.0008929516371387915,0.0002861982654811354,0.0030604403876317555,0.00365936323359881,0.1988351945737126,4.92942854631968e-07,4.970875447060305e-08,0.0,0.7854742352888114
0.004744000000000305,0.007790910484343496,0.0008929125464181925,0.000286186088098663,0.0030603725440801113,0.0036592929662749548,0.1988354410393741,4.929269553859149e-07,4.9707717909555715e-08,0.0,0.7854743416967372
